id;name;team;position;dorsal;valoration
614;;6;;14;
615;;6;;15;
616;;6;;16;
617;;6;;17;
618;;6;;18;
619;;6;;19;
620;;6;;20;
621;;6;;21;
622;;6;;22;
623;;6;;23;
701;;7;;1;
702;;7;;2;
703;;7;;3;
704;;7;;4;
705;;7;;5;
706;;7;;6;
707;;7;;7;
708;;7;;8;
709;;7;;9;
710;;7;;10;
711;;7;;11;
712;;7;;12;
713;;7;;13;
714;;7;;14;
715;;7;;15;
716;;7;;16;
717;;7;;17;
718;;7;;18;
719;;7;;19;
720;;7;;20;
721;;7;;21;
722;;7;;22;
723;;7;;23;
801;;8;;1;
802;;8;;2;
803;;8;;3;
804;;8;;4;
805;;8;;5;
806;;8;;6;
807;;8;;7;
808;;8;;8;
809;;8;;9;
810;;8;;10;
811;;8;;11;
812;;8;;12;
813;;8;;13;
814;;8;;14;
815;;8;;15;
816;;8;;16;
817;;8;;17;
818;;8;;18;
819;;8;;19;
820;;8;;20;
821;;8;;21;
822;;8;;22;
823;;8;;23;
901;;9;;1;
902;;9;;2;
903;;9;;3;
904;;9;;4;
905;;9;;5;
906;;9;;6;
907;;9;;7;
908;;9;;8;
909;;9;;9;
910;;9;;10;
911;;9;;11;
912;;9;;12;
913;;9;;13;
914;;9;;14;
915;;9;;15;
916;;9;;16;
917;;9;;17;
918;;9;;18;
919;;9;;19;
920;;9;;20;
921;;9;;21;
922;;9;;22;
923;;9;;23;
1001;;10;;1;
1002;;10;;2;
1003;;10;;3;
1004;;10;;4;
1005;;10;;5;
1006;;10;;6;
1007;;10;;7;
1008;;10;;8;
1009;;10;;9;
1010;;10;;10;
1011;;10;;11;
1012;;10;;12;
1013;;10;;13;
1014;;10;;14;
1015;;10;;15;
1016;;10;;16;
1017;;10;;17;
1018;;10;;18;
1019;;10;;19;
1020;;10;;20;
1021;;10;;21;
1022;;10;;22;
1023;;10;;23;
1101;;11;;1;
1102;;11;;2;
1103;;11;;3;
1104;;11;;4;
1105;;11;;5;
1106;;11;;6;
1107;;11;;7;
1108;;11;;8;
1109;;11;;9;
1110;;11;;10;
1111;;11;;11;
1112;;11;;12;
1113;;11;;13;
1114;;11;;14;
1115;;11;;15;
1116;;11;;16;
1117;;11;;17;
1118;;11;;18;
1119;;11;;19;
1120;;11;;20;
1121;;11;;21;
1122;;11;;22;
1123;;11;;23;
1201;;12;;1;
1202;;12;;2;
1203;;12;;3;
1204;;12;;4;
1205;;12;;5;
1206;;12;;6;
1207;;12;;7;
1208;;12;;8;
1209;;12;;9;
1210;;12;;10;
1211;;12;;11;
1212;;12;;12;
1213;;12;;13;
1214;;12;;14;
1215;;12;;15;
1216;;12;;16;
1217;;12;;17;
1218;;12;;18;
1219;;12;;19;
1220;;12;;20;
1221;;12;;21;
1222;;12;;22;
1223;;12;;23;
1301;;13;;1;
1302;;13;;2;
1303;;13;;3;
1304;;13;;4;
1305;;13;;5;
1306;;13;;6;
1307;;13;;7;
1308;;13;;8;
1309;;13;;9;
1310;;13;;10;
1311;;13;;11;
1312;;13;;12;
1313;;13;;13;
1314;;13;;14;
1315;;13;;15;
1316;;13;;16;
1317;;13;;17;
1318;;13;;18;
1319;;13;;19;
1320;;13;;20;
1321;;13;;21;
1322;;13;;22;
1323;;13;;23;
1401;;14;;1;
1402;;14;;2;
1403;;14;;3;
1404;;14;;4;
1405;;14;;5;
1406;;14;;6;
1407;;14;;7;
1408;;14;;8;
1409;;14;;9;
1410;;14;;10;
1411;;14;;11;
1412;;14;;12;
1413;;14;;13;
1414;;14;;14;
1415;;14;;15;
1416;;14;;16;
1417;;14;;17;
1418;;14;;18;
1419;;14;;19;
1420;;14;;20;
1421;;14;;21;
1422;;14;;22;
1423;;14;;23;
1501;;15;;1;
1502;;15;;2;
1503;;15;;3;
1504;;15;;4;
1505;;15;;5;
1506;;15;;6;
1507;;15;;7;
1508;;15;;8;
1509;;15;;9;
1510;;15;;10;
1511;;15;;11;
1512;;15;;12;
1513;;15;;13;
1514;;15;;14;
1515;;15;;15;
1516;;15;;16;
1517;;15;;17;
1518;;15;;18;
1519;;15;;19;
1520;;15;;20;
1521;;15;;21;
1522;;15;;22;
1523;;15;;23;
1601;;16;;1;
1602;;16;;2;
1603;;16;;3;
1604;;16;;4;
1605;;16;;5;
1606;;16;;6;
1607;;16;;7;
1608;;16;;8;
1609;;16;;9;
1610;;16;;10;
1611;;16;;11;
1612;;16;;12;
1613;;16;;13;
1614;;16;;14;
1615;;16;;15;
1616;;16;;16;
1617;;16;;17;
1618;;16;;18;
1619;;16;;19;
1620;;16;;20;
1621;;16;;21;
1622;;16;;22;
1623;;16;;23;
